quantity,usage,days_left,cost,expiry_risk,shortage_risk
95,10,2,6,1,0
420,17,135,5,0,0
195,15,100,17,0,0
280,32,116,1,1,0
457,22,168,18,0,0
50,38,26,2,1,1
19,26,106,10,0,1
285,21,54,1,0,0
216,3,134,18,0,0
455,4,93,18,0,0
443,16,84,18,0,0
228,5,157,10,0,0
85,4,12,17,1,0
295,47,18,10,1,0
153,42,39,9,1,1
205,33,47,19,1,0
91,25,123,15,0,1
146,48,147,4,1,1
110,39,200,15,1,1
129,30,5,12,1,1
142,1,147,4,0,0
74,13,159,11,0,0
357,28,98,9,0,0
488,49,143,10,1,0
27,38,181,20,1,1
313,43,27,17,1,0
108,13,102,17,0,0
10,6,93,15,0,1
261,30,196,11,0,0
111,49,128,14,1,1
472,27,188,9,0,0
84,9,197,10,0,0
115,1,17,2,1,0
74,12,163,17,0,0
420,6,159,13,0,0
86,9,87,8,0,0
343,20,23,4,1,0
99,29,64,2,0,1
36,12,153,20,0,1
475,46,90,13,1,0
25,42,87,6,1,1
295,17,171,18,0,0
371,35,151,11,1,0
356,46,96,7,1,0
251,23,164,2,0,0
376,39,179,18,1,0
393,34,49,14,1,0
167,23,119,13,0,0
233,39,164,19,1,0
384,44,88,2,1,0
98,33,12,12,1,1
402,29,94,11,0,0
430,6,154,19,0,0
202,13,184,16,0,0
465,6,183,4,0,0
235,46,171,16,1,0
429,11,195,18,0,0
322,18,77,12,0,0
81,5,99,13,0,0
258,23,57,13,0,0
453,15,35,13,0,0
70,6,62,11,0,0
173,34,16,3,1,0
47,37,67,17,1,1
331,20,21,15,1,0
214,39,29,12,1,0
122,7,108,2,0,0
203,2,196,16,0,0
235,27,46,5,0,0
124,46,54,14,1,1
17,24,113,18,0,1
163,30,74,8,0,0
253,12,27,8,1,0
427,39,183,16,1,0
251,2,16,4,1,0
109,39,127,17,1,1
216,7,16,10,1,0
57,21,145,18,0,1
134,24,110,5,0,0
56,3,52,1,0,0
471,4,22,6,1,0
169,50,85,13,1,1
211,15,169,10,0,0
29,32,57,5,1,1
188,12,168,19,0,0
336,1,137,5,0,0
23,22,29,12,1,1
202,6,100,9,0,0
214,3,43,20,0,0
430,21,128,6,0,0
112,36,151,4,1,1
317,19,49,20,0,0
143,24,194,1,0,0
48,18,7,20,1,1
366,20,179,7,0,0
230,21,26,19,1,0
321,6,59,15,0,0
196,6,63,11,0,0
136,14,148,1,0,0
440,21,136,17,0,0
365,15,144,19,0,0
284,23,200,17,0,0
43,22,72,8,0,1
116,42,114,7,1,1
265,30,38,16,0,0
360,30,156,8,0,0
404,49,127,12,1,0
37,41,113,17,1,1
193,30,122,3,0,0
143,49,190,7,1,1
43,28,28,19,1,1
152,4,83,20,0,0
226,23,74,6,0,0
354,6,94,14,0,0
26,48,170,9,1,1
258,31,123,1,1,0
61,8,24,16,1,0
436,32,103,4,1,0
454,21,96,19,0,0
258,42,34,16,1,0
96,2,113,20,0,0
422,45,145,13,1,0
357,31,36,15,1,0
462,35,87,19,1,0
10,30,14,11,1,1
288,45,92,15,1,0
450,36,164,19,1,0
127,19,55,15,0,0
199,40,40,19,1,1
448,31,158,9,1,0
126,22,150,4,0,0
441,40,1,18,1,0
151,36,39,8,1,1
230,14,57,14,0,0
473,36,42,3,1,0
255,30,46,17,0,0
350,10,157,18,0,0
101,45,43,2,1,1
241,7,113,18,0,0
69,14,184,15,0,1
354,4,82,5,0,0
84,46,159,19,1,1
487,20,108,15,0,0
353,30,181,2,0,0
268,14,184,13,0,0
171,18,65,17,0,0
416,30,197,7,0,0
195,23,107,13,0,0
261,23,152,7,0,0
268,13,10,4,1,0
59,44,190,17,1,1
184,6,193,19,0,0
483,47,45,4,1,0
82,10,107,13,0,0
269,41,147,16,1,0
473,15,81,13,0,0
320,42,19,9,1,0
258,34,118,16,1,0
25,25,75,4,0,1
491,22,83,17,0,0
425,2,125,20,0,0
237,50,89,16,1,1
12,31,103,18,1,1
207,7,114,8,0,0
485,22,30,18,0,0
82,20,148,8,0,1
154,4,69,7,0,0
439,19,129,19,0,0
287,23,87,20,0,0
375,32,179,11,1,0
141,7,45,20,0,0
114,11,64,13,0,0
363,7,30,2,0,0
165,45,151,6,1,1
399,13,71,3,0,0
97,48,81,8,1,1
103,44,32,12,1,1
121,47,97,8,1,1
202,19,40,13,0,0
239,48,83,7,1,1
190,25,79,17,0,0
165,12,104,18,0,0
440,9,28,1,1,0
240,9,132,15,0,0
206,22,61,1,0,0
449,49,138,1,1,0
221,11,17,17,1,0
361,46,49,10,1,0
102,3,147,13,0,0
27,11,182,10,0,1
203,5,86,6,0,0
303,29,194,11,0,0
370,47,92,4,1,0
480,14,64,14,0,0
149,2,167,12,0,0
355,5,152,18,0,0
283,7,24,16,1,0
113,11,133,6,0,0
21,38,131,6,1,1
365,37,57,16,1,0
299,19,160,14,0,0
17,35,102,18,1,1
415,9,142,9,0,0
482,32,139,1,1,0
491,21,123,3,0,0
199,8,190,4,0,0
78,26,120,15,0,1
495,47,166,20,1,0
424,6,146,8,0,0
188,11,32,16,0,0
157,41,65,17,1,1
140,13,157,15,0,0
265,4,42,3,0,0
477,7,126,12,0,0
390,49,64,16,1,0
146,47,32,8,1,1
453,25,44,9,0,0
346,41,173,6,1,0
361,41,18,9,1,0
135,34,2,18,1,1
256,47,51,18,1,0
73,42,143,7,1,1
399,3,165,14,0,0
328,12,26,10,1,0
253,3,188,1,0,0
359,1,96,2,0,0
199,27,58,10,0,0
178,34,122,2,1,0
36,27,165,10,0,1
64,31,71,8,1,1
103,28,199,1,0,1
389,3,200,14,0,0
361,49,159,10,1,0
138,44,48,8,1,1
378,42,191,11,1,0
250,35,91,19,1,0
41,28,86,1,0,1
379,15,20,14,1,0
495,26,175,3,0,0
55,42,137,4,1,1
140,43,13,18,1,1
419,23,193,4,0,0
489,6,144,16,0,0
281,47,189,9,1,0
279,8,179,8,0,0
25,18,96,1,0,1
379,38,89,11,1,0
303,44,142,5,1,0
26,14,31,10,0,1
490,27,153,11,0,0
359,21,162,14,0,0
450,12,149,15,0,0
90,23,72,1,0,1
261,27,196,16,0,0
262,48,116,11,1,0
298,48,70,17,1,0
318,37,72,2,1,0
438,4,35,11,0,0
473,12,97,12,0,0
132,17,19,16,1,0
165,27,157,15,0,0
190,28,176,5,0,0
295,40,61,16,1,0
420,31,45,17,1,0
111,16,200,2,0,0
58,14,88,9,0,1
168,27,140,4,0,0
70,45,124,16,1,1
273,23,167,11,0,0
286,43,4,17,1,0
339,27,87,4,0,0
65,16,54,14,0,1
470,11,93,13,0,0
69,44,37,5,1,1
271,24,9,11,1,0
249,29,5,2,1,0
47,18,131,17,0,1
124,27,5,17,1,1
397,34,64,20,1,0
252,44,151,15,1,0
120,15,191,18,0,0
252,3,52,16,0,0
145,27,52,18,0,0
454,44,14,18,1,0
11,30,61,20,0,1
255,21,3,6,1,0
42,46,103,8,1,1
95,11,101,5,0,0
287,27,131,10,0,0
443,35,181,15,1,0
317,25,30,19,0,0
226,38,200,9,1,0
213,49,68,6,1,1
76,6,83,9,0,0
15,31,174,13,1,1
482,4,100,14,0,0
211,43,110,9,1,1
466,17,177,1,0,0
243,18,37,3,0,0
230,28,142,1,0,0
